지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2),적산온도_7d,적산온도_14d,적산온도_30d,적산온도_60d,적산온도_90d,적산온도_120d,누적강수량_7d,누적강수량_14d,누적강수량_30d,누적강수량_60d,누적강수량_90d,누적강수량_120d,누적일조시간_7d,누적일조시간_14d,누적일조시간_30d,누적일조시간_60d,누적일조시간_90d,누적일조시간_120d,누적일사량_7d,누적일사량_14d,누적일사량_30d,누적일사량_60d,누적일사량_90d,누적일사량_120d
해남,2017-03-22,6.2,0.0,56.9,3.3,0.0,41.2,79.60000000000001,122.8,159.1,205.1,205.1,6.099999999999999,6.1000000000000005,20.2,35.1,40.8,40.8,47.2,115.9,234.5,429.6,543.7,543.7,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-23,7.6,0.0,57.3,4.4,0.0,45.0,81.9,128.0,167.39999999999998,212.7,212.7,6.099999999999999,6.1000000000000005,20.2,35.1,40.8,40.8,42.7,109.7,228.7,428.8,548.1,548.1,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-24,7.5,0.0,65.9,1.9,0.0,48.3,84.3,128.9,177.7,220.2,220.2,6.099999999999999,6.1000000000000005,8.3,35.1,40.8,40.8,33.6,101.0,230.6,424.7,550.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-25,6.5,6.8,83.9,1.8,0.0,49.0,85.9,134.0,185.8,226.7,226.7,12.9,12.9,15.1,41.9,47.6,47.6,30.2,92.5,226.4,417.9,551.8,551.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-26,5.1,0.0,73.1,2.1,0.0,47.00000000000001,83.1,138.5,192.6,231.8,231.8,12.9,12.9,15.1,41.9,47.6,47.6,23.5,85.8,218.6,410.5,553.9,553.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-27,6.2,0.0,70.5,7.9,0.0,45.4,82.39999999999999,143.6,199.9,238.0,238.0,7.499999999999998,12.9,15.1,41.9,47.6,47.6,31.4,87.30000000000001,221.2,409.1,561.8,561.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-28,6.5,2.9,64.4,5.1,0.0,45.6,84.3,147.7,204.5,244.5,244.5,9.699999999999998,15.8,18.0,43.900000000000006,50.5,50.5,26.5,81.3,217.9,406.9,566.9,566.9,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-29,8.9,2.4,81.1,1.1,0.0,48.3,89.5,155.2,211.7,253.4,253.4,12.099999999999998,18.2,20.4,46.3,52.9,52.9,24.3,71.5,208.6,399.4,568.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-30,9.7,0.0,64.5,9.8,0.0,50.4,95.4,162.3,213.5,263.1,263.1,12.099999999999998,18.2,20.4,45.3,52.9,52.9,29.700000000000003,72.4,207.8,409.0,577.8,577.8,0.0,0.0,0.0,0.0,0.0,0.0
해남,2017-03-31,8.5,3.6,79.4,1.4,0.0,51.4,99.7,164.9,222.0,271.6,271.6,15.699999999999998,21.8,23.2,47.7,56.5,56.5,29.2,62.8,202.6,404.7,579.2,579.2,0.0,0.0,0.0,0.0,0.0,0.0
